REG_ANS;CNPJ;RazaoSocial;Ano;Trimestre;ValorDespesas
340251;;;2025;3;214515.59
340251;;;2025;3;246389.38
340251;;;2025;3;5189523.87
340251;;;2025;3;6628289.45
340251;;;2025;3;726340.76
340251;;;2025;3;101.13
340251;;;2025;3;4356.02
340251;;;2025;3;961.04
340251;;;2025;3;22566.56
340251;;;2025;3;434.35
340251;;;2025;3;15771.5
340251;;;2025;3;93061.31
340251;;;2025;3;204362.79
340251;;;2025;3;79516.26
340251;;;2025;3;1924.3
340251;;;2025;3;15095.01
340251;;;2025;3;314744.92
340251;;;2025;3;408.92
340251;;;2025;3;1687365.29
340251;;;2025;3;638189.25
340251;;;2025;3;3879154.64
340251;;;2025;3;219961.92
342955;;;2025;3;1340620.62
342955;;;2025;3;3077.97
342955;;;2025;3;244666.75
343676;;;2025;3;537282.76
343676;;;2025;3;14545945.2
343676;;;2025;3;3287.01
343676;;;2025;3;1750063.1
343676;;;2025;3;955226.58
343676;;;2025;3;25366894.57
343676;;;2025;3;4938.6
343676;;;2025;3;2663741.05
343676;;;2025;3;721266.0
344141;;;2025;3;13931748.73
344141;;;2025;3;1668.04
344885;;;2025;3;1138561.41
345776;;;2025;3;12620.67
345776;;;2025;3;108406.94
346926;;;2025;3;3918600.51
346926;;;2025;3;920581761.99
346926;;;2025;3;4459772.99
346926;;;2025;3;1665.11
346926;;;2025;3;348738.4
346926;;;2025;3;901.19
346926;;;2025;3;661306.22
346926;;;2025;3;93074876.07
348295;;;2025;3;42715.0
348295;;;2025;3;88195432.82
348295;;;2025;3;88476.72
326305;;;2025;3;8472630.57
326305;;;2025;3;23107610.35
326305;;;2025;3;50606.64
326305;;;2025;3;23676359.89
326305;;;2025;3;1358804.24
326305;;;2025;3;135197047.06
326305;;;2025;3;1651419.59
326305;;;2025;3;416324540.7
326305;;;2025;3;786567782.79
326305;;;2025;3;175452289.69
326305;;;2025;3;723055043.66
326305;;;2025;3;150016250.28
326305;;;2025;3;4128058902.71
326305;;;2025;3;231462036.08
326305;;;2025;3;30716.87
326305;;;2025;3;19008169.59
326305;;;2025;3;1442.8
326305;;;2025;3;1643563.49
326305;;;2025;3;10764.13
326305;;;2025;3;52904170.06
326305;;;2025;3;804.43
326305;;;2025;3;68778364.44
326305;;;2025;3;99190567.72
326305;;;2025;3;559401.97
326305;;;2025;3;119920310.79
326305;;;2025;3;7174513.32
326305;;;2025;3;881362713.57
327468;;;2025;3;13858.56
327468;;;2025;3;830174.99
327468;;;2025;3;1254384.44
327468;;;2025;3;19858.44
327468;;;2025;3;290519.91
327468;;;2025;3;514122.62
327468;;;2025;3;6164.21
327468;;;2025;3;83774.18
327468;;;2025;3;26692.34
327468;;;2025;3;20732.6
327468;;;2025;3;98093.13
327468;;;2025;3;10958.72
327468;;;2025;3;1728258.84
327468;;;2025;3;5052.19
327468;;;2025;3;1049305.84
327468;;;2025;3;9069.79
327468;;;2025;3;661.28
327468;;;2025;3;532339.24
327468;;;2025;3;720.19
327468;;;2025;3;25485.24
327689;;;2025;3;807822.45
327689;;;2025;3;45824.97
327689;;;2025;3;180576.65
327689;;;2025;3;4034044.39
327689;;;2025;3;2853940.36
327689;;;2025;3;113723.43
327689;;;2025;3;716281.84
327689;;;2025;3;3910104.25
327689;;;2025;3;1431763.82
327689;;;2025;3;84707124.93
327689;;;2025;3;164269.86
327689;;;2025;3;60213195.69
327689;;;2025;3;5522548.3
327689;;;2025;3;34705967.69
327689;;;2025;3;70078.7
327689;;;2025;3;16876276.36
327689;;;2025;3;158.37
327689;;;2025;3;15377498.11
327689;;;2025;3;43996.96
327689;;;2025;3;6982690.07
327689;;;2025;3;53390.73
327689;;;2025;3;9785134.42
327689;;;2025;3;10760.19
327689;;;2025;3;2584413.73
327689;;;2025;3;3392939.97
327689;;;2025;3;34560.27
327689;;;2025;3;636.21
327689;;;2025;3;5708.48
327689;;;2025;3;75013.38
327689;;;2025;3;260122.48
327689;;;2025;3;19776403.17
327689;;;2025;3;7177.77
327689;;;2025;3;22579034.38
327689;;;2025;3;75117.94
327689;;;2025;3;12385836.06
327689;;;2025;3;87951.34
329665;;;2025;3;8551150.52
329665;;;2025;3;16683624.17
329665;;;2025;3;1198131.84
329665;;;2025;3;82189.95
329665;;;2025;3;562662.68
329665;;;2025;3;4309.26
329665;;;2025;3;13962.6
329665;;;2025;3;482920.8
329665;;;2025;3;76883.04
329665;;;2025;3;2046295.48
329665;;;2025;3;24819.86
331104;;;2025;3;244808.27
334847;;;2025;3;635.22
334847;;;2025;3;86510.93
334847;;;2025;3;23035.75
334847;;;2025;3;770.35
334847;;;2025;3;1047.24
334847;;;2025;3;98207.49
334847;;;2025;3;94147.72
334847;;;2025;3;74047.14
334847;;;2025;3;193604.37
334847;;;2025;3;74350.26
334847;;;2025;3;1046.89
334847;;;2025;3;2102.29
334847;;;2025;3;2834.12
334847;;;2025;3;35236.75
334847;;;2025;3;12238.62
334847;;;2025;3;192880.76
334847;;;2025;3;19955.74
